order_id,order_timestamp,order_date,year,quarter,month,region,country,currency,customer_name,customer_segment,customer_tier,customer_is_active,product_category,units_sold,gross_revenue_usd,discount_amount_usd,net_revenue_usd,total_cost_usd,gross_margin_usd,gross_margin_pct,material_cost_usd,shipping_cost_usd,tariff_cost_usd,overhead_cost_usd,carrier,month_name
14,2025-01-01 18:03:14,2025-01-01,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 096,Enterprise,Tier 1,1,Enterprise Storage,5,6107.2,145.61,5961.59,3468.3199999999997,2493.2700000000004,41.82,2392.16,489.62,189.39,397.15,FedEx Express,Jan
7,2025-01-01 18:29:09,2025-01-01,2025,Q1,01,North America,Canada,CAD,Customer Corp 009,SMB,Tier 3,1,Enterprise Storage,10,9125.21,682.46,8442.75,5164.34,3278.41,38.83,3664.41,691.2,204.76,603.97,UPS Supply Chain,Jan
5,2025-01-01 18:41:04,2025-01-01,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 021,SMB,Tier 1,1,Cloud Hardware,14,17815.77,1035.83,16779.94,9870.64,6909.299999999999,41.18,7079.29,1360.09,405.91,1025.35,Hapag-Lloyd,Jan
16,2025-01-01 19:21:51,2025-01-01,2025,Q1,01,Europe,France,EUR,Customer Corp 049,SMB,Tier 2,0,Cloud Hardware,23,35254.1,1601.05,33653.05,20029.61,13623.440000000002,40.48,14404.23,2080.38,1126.28,2418.72,DHL Global,Jan
6,2025-01-01 20:03:14,2025-01-01,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 156,Mid-Market,Tier 2,1,Network Switches,7,11100.9,401.82,10699.08,6802.969999999999,3896.1100000000006,36.42,4873.68,912.48,260.98,755.83,Hapag-Lloyd,Jan
10,2025-01-01 20:11:32,2025-01-01,2025,Q1,01,Europe,France,EUR,Customer Corp 175,SMB,Tier 3,1,Edge Gateways,22,30322.56,1140.43,29182.13,17018.59,12163.54,41.68,11949.77,2601.78,1005.09,1461.95,Hapag-Lloyd,Jan
22,2025-01-01 20:59:04,2025-01-01,2025,Q1,01,APAC,Australia,AUD,Customer Corp 145,SMB,Tier 3,1,Edge Gateways,10,11472.41,722.43,10749.98,6485.94,4264.04,39.67,4453.94,1007.45,359.41,665.14,UPS Supply Chain,Jan
23,2025-01-02 10:28:53,2025-01-02,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 118,Mid-Market,Tier 3,1,Cloud Hardware,4,6855.91,345.22,6510.69,3781.92,2728.7699999999995,41.91,2656.02,593.03,139.17,393.7,FedEx Express,Jan
32,2025-01-02 11:16:02,2025-01-02,2025,Q1,01,Europe,Germany,EUR,Customer Corp 068,SMB,Tier 1,1,Cloud Hardware,21,32313.93,2058.81,30255.12,18280.77,11974.349999999999,39.58,12671.47,2631.75,914.57,2062.98,DB Schenker,Jan
30,2025-01-02 11:25:21,2025-01-02,2025,Q1,01,Europe,Germany,EUR,Customer Corp 098,Mid-Market,Tier 2,0,Enterprise Storage,9,10253.46,770.11,9483.35,5630.570000000001,3852.7799999999997,40.63,3992.3,575.73,354.93,707.61,Maersk Freight,Jan
27,2025-01-02 11:43:15,2025-01-02,2025,Q1,01,Europe,Germany,EUR,Customer Corp 140,Enterprise,Tier 1,1,Edge Gateways,20,34785.85,1592.75,33193.1,19553.35,13639.75,41.09,13360.55,2886.73,1283.3,2022.77,DHL Global,Jan
31,2025-01-02 12:11:37,2025-01-02,2025,Q1,01,Europe,France,EUR,Customer Corp 072,Enterprise,Tier 1,0,Edge Gateways,13,24576.75,1080.9,23495.85,15273.510000000002,8222.339999999997,34.99,10781.52,2027.95,911.28,1552.76,DHL Global,Jan
34,2025-01-02 14:42:24,2025-01-02,2025,Q1,01,North America,Canada,CAD,Customer Corp 160,Mid-Market,Tier 3,1,Cloud Hardware,25,58251.99,2937.49,55314.5,33606.97,21707.53,39.24,24339.13,4083.24,1877.6,3307.0,DHL Global,Jan
25,2025-01-02 14:53:17,2025-01-02,2025,Q1,01,North America,United States,USD,Customer Corp 070,SMB,Tier 2,1,Network Switches,24,33189.52,2032.85,31156.67,19134.2,12022.469999999998,38.59,14057.1,2267.24,779.62,2030.24,FedEx Express,Jan
33,2025-01-02 18:58:21,2025-01-02,2025,Q1,01,APAC,Japan,JPY,Customer Corp 182,SMB,Tier 1,1,Cloud Hardware,18,42722.6,2234.7,40487.9,25984.149999999998,14503.750000000004,35.82,17942.85,3762.9,1352.8,2925.6,UPS Supply Chain,Jan
24,2025-01-02 19:35:09,2025-01-02,2025,Q1,01,North America,United States,USD,Customer Corp 140,Enterprise,Tier 1,1,Cloud Hardware,23,50348.77,1911.38,48437.39,30871.5,17565.89,36.27,21302.93,4683.48,1098.84,3786.25,FedEx Express,Jan
26,2025-01-02 19:57:09,2025-01-02,2025,Q1,01,Europe,Germany,EUR,Customer Corp 012,Enterprise,Tier 1,1,Edge Gateways,6,11298.56,403.55,10895.01,6568.98,4326.030000000001,39.71,4842.55,690.27,311.09,725.07,DHL Global,Jan
28,2025-01-02 20:11:56,2025-01-02,2025,Q1,01,Europe,France,EUR,Customer Corp 171,Mid-Market,Tier 3,1,Edge Gateways,19,43757.55,1942.08,41815.47,25915.56,15899.91,38.02,18283.38,3733.54,1613.98,2284.66,Maersk Freight,Jan
29,2025-01-02 20:44:06,2025-01-02,2025,Q1,01,Europe,Germany,EUR,Customer Corp 106,Enterprise,Tier 2,1,Network Switches,25,59290.71,3969.11,55321.6,33054.950000000004,22266.649999999994,40.25,23495.24,3762.1,1919.72,3877.89,Maersk Freight,Jan
55,2025-01-03 08:35:18,2025-01-03,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 071,SMB,Tier 2,1,Edge Gateways,5,11077.34,418.44,10658.9,6428.5,4230.4,39.69,4494.36,940.43,364.11,629.6,FedEx Express,Jan
38,2025-01-03 09:29:08,2025-01-03,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 063,SMB,Tier 2,1,Cloud Hardware,5,10616.57,351.73,10264.84,6527.81,3737.0299999999997,36.41,4601.18,898.42,300.67,727.54,Maersk Freight,Jan
43,2025-01-03 10:39:34,2025-01-03,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 155,Enterprise,Tier 3,1,Enterprise Storage,9,11375.91,559.0,10816.91,6647.81,4169.099999999999,38.54,4579.14,921.76,389.01,757.9,Maersk Freight,Jan
54,2025-01-03 11:47:30,2025-01-03,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 091,Mid-Market,Tier 2,1,Edge Gateways,11,13501.25,367.77,13133.48,7635.98,5497.5,41.86,5405.15,1123.63,403.42,703.78,DHL Global,Jan
36,2025-01-03 11:51:12,2025-01-03,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 131,Mid-Market,Tier 2,1,Network Switches,23,21715.51,1105.91,20609.6,13078.53,7531.069999999998,36.54,9026.52,2064.75,749.54,1237.72,FedEx Express,Jan
46,2025-01-03 12:49:23,2025-01-03,2025,Q1,01,Europe,Germany,EUR,Customer Corp 194,SMB,Tier 1,1,Network Switches,8,17813.51,1020.36,16793.15,9652.0,7141.1500000000015,42.52,6957.62,1241.87,374.28,1078.23,Maersk Freight,Jan
44,2025-01-03 13:48:56,2025-01-03,2025,Q1,01,APAC,Japan,JPY,Customer Corp 007,Mid-Market,Tier 2,1,Cloud Hardware,4,7570.7,213.05,7357.65,4417.780000000001,2939.869999999999,39.96,3146.88,688.98,202.94,378.98,FedEx Express,Jan
49,2025-01-03 14:11:46,2025-01-03,2025,Q1,01,APAC,Australia,AUD,Customer Corp 018,Mid-Market,Tier 1,1,Edge Gateways,2,4488.56,311.24,4177.32,2586.13,1591.1899999999996,38.09,1697.38,422.83,136.65,329.27,UPS Supply Chain,Jan
41,2025-01-03 14:24:57,2025-01-03,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 039,Mid-Market,Tier 2,1,Enterprise Storage,24,25434.45,835.2,24599.25,14275.980000000001,10323.269999999999,41.97,10452.03,1628.59,721.21,1474.15,DHL Global,Jan
37,2025-01-03 14:31:25,2025-01-03,2025,Q1,01,Europe,Germany,EUR,Customer Corp 038,Mid-Market,Tier 3,1,Cloud Hardware,9,22254.22,1261.29,20992.93,13205.489999999998,7787.440000000002,37.1,9365.14,1711.98,791.91,1336.46,Maersk Freight,Jan
48,2025-01-03 14:42:23,2025-01-03,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 152,Enterprise,Tier 1,1,Cloud Hardware,24,50717.22,3601.81,47115.41,28257.43,18857.980000000003,40.03,20543.48,3317.68,1869.39,2526.88,DHL Global,Jan
56,2025-01-03 15:07:52,2025-01-03,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 179,Mid-Market,Tier 1,1,Enterprise Storage,5,11418.12,621.65,10796.47,6290.449999999999,4506.02,41.74,4622.66,729.56,255.74,682.49,DHL Global,Jan
50,2025-01-03 15:15:48,2025-01-03,2025,Q1,01,North America,United States,USD,Customer Corp 134,SMB,Tier 3,0,Enterprise Storage,16,24647.63,1574.04,23073.59,13997.31,9076.28,39.34,9601.01,1808.23,844.83,1743.24,FedEx Express,Jan
39,2025-01-03 15:28:16,2025-01-03,2025,Q1,01,APAC,Australia,AUD,Customer Corp 119,SMB,Tier 1,1,Edge Gateways,16,29464.14,1860.85,27603.29,17623.9,9979.39,36.15,11877.33,2824.08,854.53,2067.96,FedEx Express,Jan
35,2025-01-03 15:43:13,2025-01-03,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 192,Mid-Market,Tier 3,1,Edge Gateways,14,24240.91,485.41,23755.5,13912.67,9842.83,41.43,9911.15,1756.71,750.67,1494.14,Hapag-Lloyd,Jan
40,2025-01-03 16:05:08,2025-01-03,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 193,Mid-Market,Tier 1,1,Edge Gateways,18,29228.67,1004.14,28224.53,16711.170000000002,11513.359999999997,40.79,12034.72,1964.18,696.86,2015.41,Hapag-Lloyd,Jan
51,2025-01-03 17:44:56,2025-01-03,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 119,SMB,Tier 1,1,Enterprise Storage,12,10185.48,723.75,9461.73,5597.75,3863.9799999999996,40.84,3887.92,836.32,340.21,533.3,UPS Supply Chain,Jan
47,2025-01-03 19:12:04,2025-01-03,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 043,Mid-Market,Tier 2,1,Cloud Hardware,7,17080.18,452.38,16627.8,9749.64,6878.16,41.37,6676.74,1528.09,557.81,987.0,UPS Supply Chain,Jan
52,2025-01-03 19:31:28,2025-01-03,2025,Q1,01,APAC,Australia,AUD,Customer Corp 071,SMB,Tier 2,1,Cloud Hardware,18,43410.71,1091.21,42319.5,26970.55,15348.95,36.27,18756.19,3990.0,1488.09,2736.27,DHL Global,Jan
42,2025-01-03 19:34:51,2025-01-03,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 198,SMB,Tier 2,1,Cloud Hardware,20,28932.95,588.89,28344.06,17769.61,10574.45,37.31,11935.84,2725.19,1050.68,2057.9,UPS Supply Chain,Jan
53,2025-01-03 19:35:21,2025-01-03,2025,Q1,01,Europe,France,EUR,Customer Corp 005,Enterprise,Tier 1,1,Edge Gateways,9,13387.34,463.18,12924.16,7815.8,5108.36,39.53,5684.53,940.43,401.55,789.29,Hapag-Lloyd,Jan
45,2025-01-03 20:41:02,2025-01-03,2025,Q1,01,North America,United States,USD,Customer Corp 098,Mid-Market,Tier 2,0,Enterprise Storage,10,22193.49,1070.13,21123.36,13203.080000000002,7920.279999999999,37.5,9398.66,1890.63,824.62,1089.17,FedEx Express,Jan
62,2025-01-04 09:14:43,2025-01-04,2025,Q1,01,APAC,Japan,JPY,Customer Corp 180,SMB,Tier 1,1,Edge Gateways,18,30923.44,1430.69,29492.75,18721.0,10771.75,36.52,12855.36,2580.94,1023.12,2261.58,DHL Global,Jan
67,2025-01-04 09:41:53,2025-01-04,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 008,Enterprise,Tier 3,1,Network Switches,24,25661.83,1361.37,24300.46,15057.05,9243.41,38.04,10525.38,2280.44,968.26,1282.97,FedEx Express,Jan
63,2025-01-04 10:37:27,2025-01-04,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 148,Enterprise,Tier 1,1,Cloud Hardware,23,50517.57,2756.99,47760.58,30514.41,17246.170000000002,36.11,21291.02,5133.41,1450.93,2639.05,UPS Supply Chain,Jan
60,2025-01-04 11:27:07,2025-01-04,2025,Q1,01,North America,United States,USD,Customer Corp 060,Mid-Market,Tier 3,1,Edge Gateways,24,54271.95,1317.22,52954.73,31645.879999999997,21308.850000000006,40.24,21923.55,4757.21,1897.1,3068.02,DHL Global,Jan
59,2025-01-04 15:18:02,2025-01-04,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 196,Enterprise,Tier 2,0,Network Switches,10,19227.28,565.73,18661.55,10514.21,8147.34,43.66,7659.24,1505.64,374.23,975.1,DB Schenker,Jan
69,2025-01-04 15:34:30,2025-01-04,2025,Q1,01,Europe,France,EUR,Customer Corp 035,Enterprise,Tier 2,0,Edge Gateways,15,20666.82,1390.11,19276.71,11307.45,7969.259999999998,41.34,8019.7,1656.98,665.45,965.32,DB Schenker,Jan
61,2025-01-04 15:44:19,2025-01-04,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 140,Enterprise,Tier 1,1,Network Switches,10,22052.73,535.54,21517.19,12422.68,9094.509999999998,42.27,8821.09,1574.51,752.65,1274.43,Hapag-Lloyd,Jan
65,2025-01-04 16:29:26,2025-01-04,2025,Q1,01,APAC,Australia,AUD,Customer Corp 195,Enterprise,Tier 1,1,Cloud Hardware,16,15195.23,534.02,14661.21,9048.32,5612.889999999999,38.28,5966.46,1462.16,546.84,1072.86,FedEx Express,Jan
68,2025-01-04 17:32:47,2025-01-04,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 040,Enterprise,Tier 1,1,Edge Gateways,18,35985.6,1616.81,34368.79,21094.18,13274.61,38.62,14742.49,3145.0,1001.36,2205.33,FedEx Express,Jan
58,2025-01-04 17:47:06,2025-01-04,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 153,Enterprise,Tier 3,0,Network Switches,18,26039.57,1940.22,24099.35,14765.780000000002,9333.569999999996,38.73,10069.7,2376.94,688.68,1630.46,DHL Global,Jan
64,2025-01-04 18:25:52,2025-01-04,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 163,Mid-Market,Tier 1,1,Cloud Hardware,17,23656.07,946.21,22709.86,14475.26,8234.6,36.26,9997.06,2154.35,603.99,1719.86,DHL Global,Jan
66,2025-01-04 19:31:07,2025-01-04,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 014,SMB,Tier 1,1,Edge Gateways,21,43805.02,2519.86,41285.16,25011.96,16273.200000000004,39.42,18396.64,3019.74,1279.2,2316.38,Hapag-Lloyd,Jan
57,2025-01-04 20:26:38,2025-01-04,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 103,SMB,Tier 3,1,Cloud Hardware,20,37401.15,868.33,36532.82,21388.77,15144.05,41.45,14940.16,3052.45,952.66,2443.5,FedEx Express,Jan
83,2025-01-05 08:19:31,2025-01-05,2025,Q1,01,North America,Canada,CAD,Customer Corp 144,Enterprise,Tier 2,1,Network Switches,22,19964.32,1386.15,18578.17,11391.300000000001,7186.869999999997,38.68,8444.95,1325.75,523.27,1097.33,FedEx Express,Jan
77,2025-01-05 08:36:55,2025-01-05,2025,Q1,01,APAC,Japan,JPY,Customer Corp 051,Mid-Market,Tier 2,0,Enterprise Storage,5,6016.25,326.77,5689.48,3596.0200000000004,2093.459999999999,36.8,2472.01,522.72,147.38,453.91,DHL Global,Jan
85,2025-01-05 09:43:23,2025-01-05,2025,Q1,01,Europe,France,EUR,Customer Corp 107,Enterprise,Tier 2,1,Enterprise Storage,21,31369.74,2418.33,28951.41,16722.62,12228.79,42.24,11637.39,2480.08,835.76,1769.39,Maersk Freight,Jan
80,2025-01-05 12:47:55,2025-01-05,2025,Q1,01,Europe,Netherlands,EUR,Customer Corp 045,SMB,Tier 1,1,Network Switches,19,43509.68,1825.29,41684.39,25035.48,16648.91,39.94,17928.78,3710.81,970.87,2425.02,DB Schenker,Jan
79,2025-01-05 13:47:26,2025-01-05,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 175,SMB,Tier 3,1,Cloud Hardware,22,41773.14,1609.77,40163.37,24731.5,15431.870000000003,38.42,17127.64,3505.81,1391.55,2706.5,DHL Global,Jan
81,2025-01-05 14:00:16,2025-01-05,2025,Q1,01,Europe,France,EUR,Customer Corp 087,SMB,Tier 2,1,Enterprise Storage,4,4157.15,324.22,3832.93,2398.0400000000004,1434.8899999999994,37.44,1730.98,240.36,151.78,274.92,Hapag-Lloyd,Jan
71,2025-01-05 15:00:46,2025-01-05,2025,Q1,01,APAC,Japan,JPY,Customer Corp 098,Mid-Market,Tier 2,0,Network Switches,17,41483.43,1143.9,40339.53,25126.670000000002,15212.859999999997,37.71,18472.33,3347.83,887.76,2418.75,UPS Supply Chain,Jan
82,2025-01-05 15:01:39,2025-01-05,2025,Q1,01,Europe,France,EUR,Customer Corp 138,SMB,Tier 2,1,Enterprise Storage,13,25269.51,1524.77,23744.74,14930.619999999999,8814.120000000003,37.12,10330.71,1905.4,921.43,1773.08,DHL Global,Jan
76,2025-01-05 15:54:19,2025-01-05,2025,Q1,01,Europe,Germany,EUR,Customer Corp 066,SMB,Tier 2,1,Enterprise Storage,11,21471.32,632.94,20838.38,12489.1,8349.28,40.07,8887.65,1681.85,661.65,1257.95,DB Schenker,Jan
72,2025-01-05 16:24:20,2025-01-05,2025,Q1,01,APAC,Japan,JPY,Customer Corp 037,Mid-Market,Tier 3,1,Network Switches,4,6392.54,499.59,5892.95,3710.5699999999997,2182.38,37.03,2476.89,622.12,194.45,417.11,UPS Supply Chain,Jan
74,2025-01-05 16:26:36,2025-01-05,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 026,Mid-Market,Tier 2,1,Network Switches,24,31418.22,682.93,30735.29,17908.92,12826.370000000003,41.73,12892.3,2593.05,835.06,1588.51,UPS Supply Chain,Jan
86,2025-01-05 17:01:03,2025-01-05,2025,Q1,01,North America,Canada,CAD,Customer Corp 140,Enterprise,Tier 1,1,Cloud Hardware,14,17765.98,1387.39,16378.59,10527.35,5851.24,35.72,7484.04,1461.81,357.6,1223.9,FedEx Express,Jan
75,2025-01-05 18:16:29,2025-01-05,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 175,SMB,Tier 3,1,Network Switches,7,6539.72,472.5,6067.22,3638.09,2429.13,40.04,2652.48,406.3,232.11,347.2,Maersk Freight,Jan
84,2025-01-05 19:09:56,2025-01-05,2025,Q1,01,Europe,France,EUR,Customer Corp 030,Mid-Market,Tier 3,1,Network Switches,19,19581.95,924.63,18657.32,11736.64,6920.68,37.09,8213.5,1448.19,726.13,1348.82,DB Schenker,Jan
70,2025-01-05 19:30:45,2025-01-05,2025,Q1,01,APAC,Australia,AUD,Customer Corp 086,SMB,Tier 2,1,Enterprise Storage,16,38173.58,2755.22,35418.36,22135.75,13282.61,37.5,16251.59,2879.85,979.65,2024.66,UPS Supply Chain,Jan
78,2025-01-05 19:49:42,2025-01-05,2025,Q1,01,Europe,Germany,EUR,Customer Corp 176,Mid-Market,Tier 2,1,Enterprise Storage,11,23306.36,787.92,22518.44,13709.71,8808.73,39.12,10090.87,1808.97,536.0,1273.87,Hapag-Lloyd,Jan
73,2025-01-05 20:40:45,2025-01-05,2025,Q1,01,APAC,Singapore,SGD,Customer Corp 161,SMB,Tier 1,1,Cloud Hardware,21,19242.62,1113.56,18129.06,12318.04,5811.02,32.05,8253.36,1982.42,633.34,1448.92,UPS Supply Chain,Jan
98,2025-01-06 08:09:10,2025-01-06,2025,Q1,01,APAC,Australia,AUD,Customer Corp 024,Mid-Market,Tier 3,1,Network Switches,14,21192.01,857.3,20334.71,12755.449999999999,7579.26,37.27,8585.38,1990.5,722.63,1456.94,DHL Global,Jan
89,2025-01-06 08:46:50,2025-01-06,2025,Q1,01,APAC,Japan,JPY,Customer Corp 190,Mid-Market,Tier 1,1,Cloud Hardware,25,22701.22,1064.61,21636.61,13564.75,8071.860000000001,37.31,9124.64,2344.6,628.33,1467.18,FedEx Express,Jan
99,2025-01-06 09:22:27,2025-01-06,2025,Q1,01,LATAM,Brazil,BRL,Customer Corp 194,SMB,Tier 1,1,Cloud Hardware,23,21589.84,1005.8,20584.04,12856.480000000001,7727.5599999999995,37.54,8757.29,2112.92,582.19,1404.08,FedEx Express,Jan
93,2025-01-06 09:27:06,2025-01-06,2025,Q1,01,Europe,France,EUR,Customer Corp 187,SMB,Tier 3,1,Edge Gateways,15,19969.35,704.79,19264.56,12372.84,6891.720000000001,35.77,8808.06,1636.59,568.02,1360.17,DHL Global,Jan
88,2025-01-06 12:03:08,2025-01-06,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 038,Mid-Market,Tier 3,1,Edge Gateways,7,6908.12,497.29,6410.83,3621.46,2789.37,43.51,2615.03,387.68,229.31,389.44,Hapag-Lloyd,Jan
102,2025-01-06 12:07:25,2025-01-06,2025,Q1,01,APAC,Japan,JPY,Customer Corp 019,SMB,Tier 1,1,Cloud Hardware,15,12477.91,939.21,11538.7,7496.370000000001,4042.33,35.03,5212.34,1144.69,363.1,776.24,DHL Global,Jan
94,2025-01-06 14:55:58,2025-01-06,2025,Q1,01,North America,Canada,CAD,Customer Corp 191,Mid-Market,Tier 3,1,Network Switches,19,17137.39,1326.39,15811.0,9964.92,5846.08,36.97,6857.25,1553.18,446.13,1108.36,DHL Global,Jan
90,2025-01-06 15:04:57,2025-01-06,2025,Q1,01,APAC,Australia,AUD,Customer Corp 169,SMB,Tier 3,0,Edge Gateways,16,30298.87,662.61,29636.26,19517.489999999998,10118.77,34.14,13630.17,2806.79,845.39,2235.14,FedEx Express,Jan
92,2025-01-06 15:25:26,2025-01-06,2025,Q1,01,Europe,France,EUR,Customer Corp 111,Enterprise,Tier 1,1,Cloud Hardware,22,41944.28,2774.1,39170.18,23547.020000000004,15623.159999999996,39.89,17362.2,2836.49,1137.15,2211.18,Maersk Freight,Jan
91,2025-01-06 15:32:38,2025-01-06,2025,Q1,01,North America,Canada,CAD,Customer Corp 021,SMB,Tier 1,1,Network Switches,4,4058.1,233.17,3824.93,2371.54,1453.3899999999999,38.0,1664.31,328.63,105.64,272.96,DHL Global,Jan
103,2025-01-06 16:05:25,2025-01-06,2025,Q1,01,North America,Canada,CAD,Customer Corp 006,Mid-Market,Tier 3,1,Network Switches,21,33225.46,2039.27,31186.19,18543.17,12643.02,40.54,13151.56,2733.97,689.75,1967.89,UPS Supply Chain,Jan
95,2025-01-06 16:23:07,2025-01-06,2025,Q1,01,Europe,Germany,EUR,Customer Corp 185,SMB,Tier 1,1,Edge Gateways,21,27954.43,732.85,27221.58,15930.99,11290.590000000002,41.48,11717.39,1919.21,806.95,1487.44,DHL Global,Jan
87,2025-01-06 17:00:17,2025-01-06,2025,Q1,01,Europe,United Kingdom,GBP,Customer Corp 063,SMB,Tier 2,1,Network Switches,4,8842.76,470.9,8371.86,5172.92,3198.9400000000005,38.21,3643.29,700.38,206.45,622.8,Maersk Freight,Jan
